               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12852,            0.015161,            0.054329,           0.0011601,               0.125,           0.0053408,           0.0010682,             0.14021,            0.011422,             0.05638,              0.0002,              0.0002,              0.0982
                   1,             0.12667,            0.015364,            0.051695,           0.0011161,               0.125,           0.0062574,           0.0012515,             0.13687,            0.011501,            0.055493,           0.0004967,           0.0004967,            0.095497
                   2,             0.12521,            0.014229,            0.049862,           0.0010504,               0.125,           0.0080554,           0.0016111,             0.13366,            0.011488,            0.052313,          0.00078944,          0.00078944,            0.092789
                   3,             0.11949,            0.015233,            0.048113,           0.0019608,                0.25,            0.014776,           0.0014776,             0.12892,            0.011446,            0.048617,           0.0010782,           0.0010782,            0.090078
                   4,             0.11727,            0.015793,            0.046444,           0.0019608,                0.25,            0.025903,           0.0026717,             0.12529,            0.011335,            0.045603,            0.001363,            0.001363,            0.087363
                   5,             0.11722,             0.01437,            0.043968,           0.0019724,                0.25,            0.021953,           0.0021953,             0.12349,            0.011157,            0.042973,           0.0016439,           0.0016439,            0.084644
                   6,             0.11539,            0.014872,            0.042249,           0.0018248,                0.25,             0.02139,           0.0021986,             0.12095,            0.010913,            0.039428,           0.0019208,           0.0019208,            0.081921
                   7,             0.10776,            0.016321,            0.040646,          0.00086957,               0.125,           0.0040426,          0.00080851,             0.12178,            0.010857,            0.037754,           0.0021937,           0.0021937,            0.079194
                   8,             0.10451,            0.017214,            0.037914,           0.0015152,                0.25,           0.0047176,          0.00062933,               0.117,            0.010545,            0.033126,           0.0024627,           0.0024627,            0.076463
                   9,             0.10671,            0.015536,            0.036576,           0.0014205,                0.25,           0.0063722,          0.00063722,              0.1188,            0.010183,            0.030396,           0.0027277,           0.0027277,            0.073728
                  10,             0.10361,            0.014591,            0.034376,           0.0011111,                0.25,            0.062356,            0.012594,             0.10815,            0.010425,            0.026263,           0.0029888,           0.0029888,            0.070989
                  11,             0.10031,            0.015182,            0.032511,          0.00052356,               0.125,            0.061449,             0.02458,             0.10708,            0.010056,            0.024474,           0.0032459,           0.0032459,            0.068246
                  12,            0.097543,            0.014942,            0.030887,           0.0014947,                0.25,            0.055776,           0.0063159,             0.10562,           0.0098767,            0.021598,            0.003499,            0.003499,            0.065499
                  13,             0.09439,            0.015667,            0.026377,          0.00090662,                0.25,            0.017778,           0.0038869,             0.10316,            0.010099,            0.020033,           0.0037482,           0.0037482,            0.062748
                  14,            0.097163,            0.014215,            0.025478,          0.00087108,                0.25,            0.013434,           0.0021256,             0.10443,           0.0096195,            0.018051,           0.0039934,           0.0039934,            0.059993
                  15,             0.10008,            0.012294,            0.024077,             0.57498,               0.125,            0.064892,             0.03175,             0.10045,           0.0097042,            0.016906,           0.0042347,           0.0042347,            0.057235
                  16,            0.090053,            0.014916,            0.021312,          0.00073746,                0.25,           0.0041464,           0.0011232,            0.099492,           0.0099584,            0.015229,            0.004472,            0.004472,            0.054472
                  17,            0.090917,            0.013217,            0.021744,             0.50856,               0.125,            0.028423,           0.0087241,             0.10459,           0.0093916,            0.016047,           0.0047053,           0.0047053,            0.051705
                  18,             0.09277,             0.01337,            0.019965,             0.58828,                0.25,             0.15367,            0.021989,            0.099943,           0.0092343,            0.013994,           0.0049347,           0.0049347,            0.048935
                  19,            0.088092,            0.015774,            0.018423,             0.69332,               0.125,             0.12776,            0.037674,             0.10043,           0.0090714,            0.013845,           0.0051601,           0.0051601,             0.04616
                  20,            0.087704,            0.015081,            0.017091,          0.00032982,               0.125,          0.00034645,          3.4645e-05,             0.12021,           0.0083363,            0.012213,           0.0053816,           0.0053816,            0.043382
                  21,            0.099895,            0.013109,            0.014789,              0.9082,               0.125,             0.12263,            0.049052,             0.10423,           0.0083466,             0.01189,           0.0055991,           0.0055991,            0.040599
                  22,            0.093254,            0.012058,            0.014572,             0.56284,               0.125,             0.03431,           0.0039718,             0.11145,           0.0079871,            0.011753,           0.0058126,           0.0058126,            0.037813
                  23,            0.090723,            0.012148,            0.012889,             0.63021,               0.125,             0.12479,            0.012828,             0.10098,           0.0085776,            0.011501,           0.0060222,           0.0060222,            0.035022
                  24,            0.092216,            0.013949,            0.016403,             0.58852,               0.125,              0.1242,            0.036942,             0.10574,            0.007775,            0.013055,           0.0062278,           0.0062278,            0.032228
                  25,            0.082866,            0.015493,            0.013101,             0.58258,               0.125,             0.13098,            0.037619,            0.097954,           0.0081074,            0.010565,           0.0064295,           0.0064295,            0.029429
                  26,             0.08292,            0.014443,            0.012369,          0.00080645,               0.375,           0.0025291,          0.00025291,             0.11217,           0.0074786,            0.011323,           0.0066272,           0.0066272,            0.026627
                  27,            0.084147,            0.013095,              0.0117,             0.59596,               0.125,              0.0625,             0.01258,            0.095848,            0.008333,            0.011857,           0.0068209,           0.0068209,            0.023821
                  28,            0.085437,            0.012941,            0.010321,             0.59596,               0.125,              0.0625,             0.01258,            0.095848,            0.008333,            0.011857,           0.0070107,           0.0070107,            0.021011
                  29,            0.086979,            0.012087,           0.0096611,              0.5788,               0.125,            0.064381,            0.019342,            0.092651,           0.0084403,            0.013056,           0.0071965,           0.0071965,            0.018197
                  30,            0.082014,            0.014277,            0.012026,              0.5079,               0.125,           0.0097955,           0.0072166,            0.098389,           0.0083529,            0.011754,           0.0073784,           0.0073784,            0.015378
